,id,標題,看板,留言數,心情數,收藏數,createdAt,updatedAt
77,228375104,#小更 不想跟學店生交朋友,mood,991,2633,0,2018-02-26T04:38:57.638Z,2018-03-28T14:19:15.898Z
78,227113076,#更新#屏科大是學店？！,mood,482,2619,3,2017-08-29T06:22:16.889Z,2017-09-23T05:25:04.809Z
79,234110819,指考榜首,exam,226,2588,0,2020-07-24T17:42:11.779Z,2020-12-08T05:44:15.086Z
80,230311019,請他媽的別來讀國防醫學院,exam,507,2586,12,2018-12-20T04:34:58.448Z,2018-12-22T07:18:24.374Z
81,229834397,給在人生道路上也快撐不下去的你,mood,172,2559,9,2018-10-12T04:40:23.756Z,2018-10-12T04:40:23.756Z
82,229868017,我跟學弟做愛了,rainbow,350,2553,0,2018-10-17T08:35:23.722Z,2019-07-18T18:00:13.631Z
83,225825809,從dcard 發文看學生素質,mood,2800,2533,0,2017-02-17T22:00:13.973Z,2017-03-10T09:24:10.998Z
84,234071098,真肉肉女bikini👙穿搭 直接打臉假肉肉女,dressup,1308,2434,0,2020-07-18T03:19:18.563Z,2020-07-19T14:43:40.897Z
85,231259626,韓市長的4頁自經區說帖出爐啦,trending,206,2419,0,2019-05-10T06:45:05.022Z,2019-05-10T06:45:05.022Z
86,235374802,兩個女兒，一個疼愛，一個冷落,mood,139,2382,0,2021-02-18T12:05:02.31Z,2021-02-18T12:05:02.31Z
87,227820957,認真讀書還不如長得漂亮有用,mood,203,2304,3,2017-12-01T08:45:45.305Z,2017-12-03T17:18:53.596Z
88,234447695,月薪多少算高薪?,job,626,2262,0,2020-09-18T03:31:23.629Z,2020-12-08T05:06:26.385Z
89,233652060,原來當保險員這麼好賺,mood,285,2139,0,2020-05-11T05:42:24.508Z,2020-05-11T05:42:24.508Z
90,235593684,如何假裝自己是臺大生,talk,201,2117,8,2021-03-21T02:59:07.538Z,2021-03-21T09:19:52.302Z
91,240175707,新聞 女大生遭撿屍,talk,460,2116,0,2022-10-05T14:23:54.005Z,2022-10-10T10:40:01.93Z
92,241321192,高中性騷擾我的人回去演講,mood,208,2077,1,2023-02-24T06:12:18.863Z,2023-02-27T09:22:38.47Z
93,240975720,跟網友見面被說學店,rainbow,238,2038,5,2023-01-10T14:02:51.895Z,2023-01-10T14:02:51.895Z
94,231783490,為什麼我落榜了？我這麼努力讀了！微更一下,exam,102,2022,6,2019-08-02T16:20:19.698Z,2020-12-08T05:44:24.58Z
95,236675624,從私校到頂大的過程與種種差異,exam,157,2016,1,2021-08-08T13:17:08.08Z,2021-08-09T00:17:50.845Z
96,229448419,了解學店真正意義不該盲目逐流（文長,freshman,230,2015,0,2018-08-17T00:14:21.688Z,2018-08-17T06:33:38.918Z
97,234166762,2.29分上大學？,freshman,889,2006,0,2020-08-04T04:07:29.789Z,2020-12-08T05:42:06.677Z
98,234135169,學店還敢休學啊,meme,249,1973,0,2020-07-29T06:16:45.979Z,2020-12-07T09:40:04.739Z
99,236023630,跟聰明的女生交往後就回不去了,mood,311,1947,1,2021-05-18T04:27:00.325Z,2021-05-18T04:27:00.325Z
